key,module,type,category,source,notes
FFFilmStripObjectKey,Flexo,object,notification_userinfo,binary_extract,NSNotification userInfo object key
FFFilmStripRightObjectKey,Flexo,object,notification_userinfo,binary_extract,NSNotification userInfo object key
FFFilmStripUnusedMaterialObjectKey,Flexo,object,notification_userinfo,binary_extract,NSNotification userInfo object key
FFFilmStripViewDidBecomeActiveNotificationKey,Flexo,mixed,notification_userinfo,binary_extract,NSNotification name/key
FFFilmStripViewDidBecomeInactiveNotificationKey,Flexo,mixed,notification_userinfo,binary_extract,NSNotification name/key
FFForceIGTextureCacheMode,Flexo,bool,behavior_toggle,binary_extract,Force IOSurface texture caching [also accessed via boolForKey in decomp]
FFFxPlugEffectDisplayNameKey,Flexo,unknown,data_storage,binary_extract,
FFHardwarePlaybackEnable,Flexo,bool,behavior_toggle,binary_extract,Hardware playback
FFHardwarePlaybackEnabledOnHide,Flexo,bool,behavior_toggle,binary_extract,Keep hardware playback when hidden
FFHas4KDestinationBeenAdded,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
FFHDRWhiteLevel,Flexo,unknown,data_storage,binary_extract,
FFHeliumBlendMode,Flexo,enum,mode_enum,binary_extract,Enum/mode value
FFHeliumUsageRequestForUserDefault,Flexo,mixed,internal,binary_extract,Helium / HG subsystem
FFHeliumXFormScale,Flexo,mixed,internal,binary_extract,Helium / HG subsystem
FFHGFanoutResultInternal,Flexo,mixed,internal,binary_extract,Helium / HG subsystem
FFHideAudioAnimation,binary_scan,bool,behavior_toggle,binary_strings_scan,"Candidate: discovered via binary strings scan, NOT verified"
FFHideClip,binary_scan,bool,behavior_toggle,binary_strings_scan,"Candidate: discovered via binary strings scan, NOT verified"
FFHideClips,binary_scan,bool,behavior_toggle,binary_strings_scan,"Candidate: discovered via binary strings scan, NOT verified"
FFHideComponentWhenOnlyOne,binary_scan,bool,behavior_toggle,binary_strings_scan,"Candidate: discovered via binary strings scan, NOT verified"
FFHideMarkedRanges,binary_scan,bool,behavior_toggle,binary_strings_scan,"Candidate: discovered via binary strings scan, NOT verified"
FFHideSkimmerInfo,binary_scan,bool,behavior_toggle,binary_strings_scan,"Candidate: discovered via binary strings scan, NOT verified"
FFHideVideoAnimation,binary_scan,bool,behavior_toggle,binary_strings_scan,"Candidate: discovered via binary strings scan, NOT verified"
FFHideYouTubeSignInWarning,binary_scan,bool,behavior_toggle,binary_strings_scan,"Candidate: discovered via binary strings scan, NOT verified [also accessed via boolForKey in decomp]"
FFHMDDisabled,Flexo,bool,behavior_toggle,binary_extract,Disable HMD / Vision Pro output
FFHMDDoGLFinishForEyes,Flexo,int,internal,decompiled_source,Accessed via integerForKey; HMD / Vision Pro
FFHMDEnabled,Flexo,bool,behavior_toggle,binary_extract,Enable HMD / Vision Pro output
FFHMDMoreInfoURL,Flexo,string,path_url,binary_extract,HMD info URL
FFHMDRequestedImageLocMode,Flexo,enum,mode_enum,binary_extract,Enum/mode value
